R18-0534-6,29.0,44.0,0.0,59.0,211.0,54.0
R18-0536-6,36.0,41.0,0.0,44.0,209.0,60.0
R18-0548-4,17.0,43.0,0.0,50.0,193.0,80.0
R18-0548-5,29.0,47.0,0.0,47.0,222.0,38.0
R18-0557-4,37.0,43.0,0.0,56.0,201.0,50.0
R18-0564-5,35.0,43.0,0.0,51.0,262.0,1.0
R18-0585-1,41.0,47.0,0.0,62.0,217.0,22.0
R18-0585-3,47.0,52.0,0.0,55.0,226.0,9.0
R18-0588-1,29.0,37.0,0.0,47.0,268.0,18.0
R18-0596-1,48.0,44.0,0.0,77.0,210.0,11.0
R18-0622-7,29.0,47.0,0.0,55.0,175.0,75.0
R19-0387-4,29.0,43.0,0.0,65.0,240.0,14.0
R19-0422-9,41.0,52.0,0.0,62.0,219.0,20.0
R19-0497-10,20.0,46.0,0.0,60.0,208.0,54.0
R19-0579-5,29.0,45.0,0.0,55.0,244.0,21.0
R19-0583-4,28.0,39.0,0.0,44.0,194.0,80.0
R19-0590-4,47.0,49.0,0.0,62.0,207.0,31.0
R19-0599-2,40.0,49.0,0.0,52.0,207.0,43.0
R17-0008-10,43.0,52.0,0.0,54.0,214.0,30.0
R17-0014-2,51.0,44.0,0.0,56.0,222.0,19.0
R17-0014-6,30.0,47.0,0.0,44.0,228.0,43.0
R17-0018-4,45.0,46.0,0.0,57.0,188.0,55.0
R17-0022-3,30.0,45.0,0.0,50.0,213.0,46.0
R17-0047-6,18.0,43.0,0.0,47.0,225.0,57.0
R17-0057-1,16.0,38.0,0.0,43.0,199.0,86.0
R17-0065-1,40.0,4.0,0.0,96.0,212.0,33.0
R17-0068-1,44.0,48.0,0.0,52.0,215.0,24.0
R17-0069-1,40.0,48.0,0.0,63.0,198.0,35.0
R17-0069-2,50.0,45.0,0.0,62.0,189.0,38.0
R17-0078-1,49.0,48.0,0.0,80.0,189.0,20.0
R17-0108-2,27.0,39.0,0.0,48.0,213.0,67.0
R17-0108-4,23.0,37.0,0.0,52.0,209.0,67.0
R17-0119-6,44.0,48.0,0.0,57.0,185.0,49.0
R17-0156-7,47.0,51.0,0.0,59.0,216.0,11.0
R17-0158-1,19.0,47.0,0.0,62.0,188.0,56.0
R17-0166-8,27.0,41.0,0.0,48.0,206.0,63.0
R17-0170-1,40.0,41.0,0.0,51.0,195.0,60.0
R17-0170-2,46.0,46.0,0.0,55.0,214.0,26.0
R17-0172-7,25.0,44.0,0.0,51.0,190.0,73.0
R17-0181-1,43.0,44.0,0.0,44.0,230.0,17.0
R17-0181-4,42.0,46.0,0.0,55.0,223.0,12.0
R17-0220-2,46.0,46.0,0.0,49.0,198.0,52.0
R17-0227-3,47.0,41.0,0.0,48.0,248.0,3.0
R17-0241-2,28.0,39.0,0.0,59.0,229.0,33.0
R17-0242-5,35.0,43.0,0.0,49.0,244.0,9.0
R17-0248-2,43.0,49.0,0.0,80.0,216.0,1.0
R17-0283-10,33.0,39.0,0.0,51.0,234.0,29.0
R17-0302-1,33.0,42.0,0.0,50.0,226.0,34.0
R17-0323-2,33.0,42.0,0.0,49.0,200.0,59.0
R17-0325-2,27.0,40.0,0.0,48.0,226.0,45.0
R17-0328-1,24.0,49.0,0.0,45.0,249.0,16.0
